SpinCore CPMG NMR\NQR Experiment
Spectrometer Frequency (MHz): 29.9016
Spectral Width (kHz): 100.0
Number of Acquisition Points: 12114.0
90 Degree Pulse-Width (us): 1.5
90 Degree Pulse Phase (Degrees): 0.00
Transient Delay (us): 15.00
Tau (ms): 1.00
Points Per Echo: 0.0
Number of Echoes: 60.0
Repetition Delay (s): 
Number of Scans: 100.0
ADC Clock Frequency (MHz): 75.00
Blanking Bit: 2.0
Deblank Delay: 3000.00
Output Amplitude Scaling: 1.00
Bypass FIR: Yes
 
Time (s), Magnitude Data
0.0017900, 269930.2036101
0.0018000, 321237.6410230
0.0018100, 342222.7734693
0.0018200, 354640.2968756
0.0018300, 369056.0561270
0.0018400, 457818.2196921
0.0018500, 464436.8149167
0.0018600, 522123.3916853
0.0018700, 567523.6843199
0.0018800, 655789.8156239
0.0018900, 724684.0663600
0.0019000, 833797.5694136
0.0019100, 926110.4702248
0.0019200, 1032697.6065945
0.0019300, 1187456.6995423
0.0019400, 1358582.5397248
0.0019500, 1593590.5595560
0.0019600, 2017799.2832609
0.0019700, 2500411.3422245
0.0019800, 3092908.7291521
0.0019900, 3796554.2367654
0.0020000, 4480133.4832861
0.0020100, 4924056.1606515
0.0020200, 5185212.1180280
0.0020300, 5050085.8433461
0.0020400, 4615606.1898095
0.0020500, 4022157.6714458
0.0020600, 3338420.3351217
0.0020700, 2630835.7370729
0.0020800, 2121558.2022384
0.0020900, 1683434.8400868
0.0021000, 1451987.4838872
0.0021100, 1248341.4674335
0.0021200, 1128907.9858983
0.0021300, 1023468.6444621
0.0021400, 887185.7296237
0.0021500, 818240.9203761
0.0021600, 720491.0002332
0.0021700, 654362.0024826
0.0021800, 574228.6726262
0.0021900, 535815.1383640
0.0022000, 479255.2435290
0.0022100, 452417.6536896
0.0022200, 377633.3992035
0.0022300, 393738.0036522
0.0022400, 338126.3761451
0.0022500, 308731.0622791
0.0022600, 332000.5959332
0.0022700, 297640.0062156
0.0022800, 291388.4760144
0.0022900, 288680.0565505
0.0023000, 287481.1769925
0.0023100, 236727.7569615
0.0023200, 234573.1693630
0.0023300, 259275.0544287
0.0023400, 263622.7662134
0.0023500, 214876.0400277
0.0023600, 258223.7876668
0.0023700, 226271.2027281
0.0023800, 174661.8423268
0.0023900, 237909.8847736
0.0024000, 198183.1062931
0.0024100, 171585.1057930
0.0024200, 199305.5126307
0.0024300, 138112.8174392
0.0024400, 192176.0662752
0.0024500, 147915.1497075
0.0024600, 145902.5247246
0.0024700, 138528.6214650
0.0024800, 134193.2964198
0.0024900, 120081.4601593
0.0025000, 144886.7096217
0.0025100, 95241.6113366
0.0025200, 138646.1421100
0.0025300, 102826.8755579
0.0025400, 112695.0057855
0.0025500, 97906.3273594
0.0025600, 94474.0994400
0.0025700, 85666.1192596
0.0025800, 98133.2159312
0.0025900, 75728.1457055
0.0026000, 106217.2628719
0.0026100, 48030.3014773
0.0026200, 68545.3324450
0.0026300, 80290.6194085
0.0026400, 61701.7507207
0.0026500, 69499.1970961
0.0026600, 83148.5751231
0.0026700, 58691.4915554
0.0026800, 64565.7583941
0.0026900, 65954.6542482
0.0027000, 60142.3001639
0.0027100, 47366.8338925
0.0027200, 56952.6753103
0.0027300, 85773.8007844
0.0027400, 35375.0927349
0.0027500, 67475.0357466
0.0027600, 32380.5284855
0.0027700, 81300.7922040
0.0027800, 40139.9889512
0.0027900, 44305.3055627
0.0028000, 87958.6545827
0.0028100, 67159.9613609
0.0028200, 32478.6804073
0.0028300, 32823.9407750
0.0028400, 68774.2266405
0.0028500, 46351.6008030
0.0028600, 40644.9076392
0.0028700, 61497.4748262
0.0028800, 60683.7033148
0.0028900, 43324.9316330
0.0029000, 43252.3355439
0.0029100, 66327.9254915
0.0029200, 54462.8031320
0.0029300, 61018.4241029
0.0029400, 52496.5472484
0.0029500, 53403.1618259
0.0029600, 36065.2522659
0.0029700, 47961.8309909
0.0029800, 51570.4851441
0.0029900, 50719.4706005
0.0030000, 66813.0330100
0.0030100, 13401382.0851581
0.0030200, 733900.1043037
0.0030300, 277337.3952589
0.0030400, 377631.2958231
0.0030500, 1138254.6907859
0.0030600, 1085410.7259876
0.0030700, 1009490.0272281
0.0030800, 936062.1801745
0.0030900, 855952.0276096
0.0031000, 739810.8734819
0.0031100, 637005.0766682
0.0031200, 504192.1184678
0.0031300, 433545.5430978
0.0031400, 352013.6032386
0.0031500, 295489.7377186
0.0031600, 259543.5924407
0.0031700, 223312.0025883
0.0031800, 195706.1565945
0.0031900, 173240.1975899
0.0032000, 160419.9092663
0.0032100, 148901.1125042
0.0032200, 131233.0913528
0.0032300, 124442.2393643
0.0032400, 121309.2816111
0.0032500, 106870.1871431
0.0032600, 90259.5594272
0.0032700, 99535.4756557
0.0032800, 91352.9302978
0.0032900, 91436.6969329
0.0033000, 63827.9522780
0.0033100, 73404.4297369
0.0033200, 67027.6234175
0.0033300, 71726.1028357
0.0033400, 40232.8508808
0.0033500, 34016.2857614
0.0033600, 51088.2431191
0.0033700, 36046.0648892
0.0033800, 25429.0860630
0.0033900, 52595.0130336
0.0034000, 29034.2319513
0.0034100, 61946.6240000
0.0034200, 19651.5001209
0.0034300, 41230.2764604
0.0034400, 46867.8230772
0.0034500, 35235.3330905
0.0034600, 61978.0320517
0.0034700, 65475.7125353
0.0034800, 61259.5183298
0.0034900, 59225.2603625
0.0035000, 111355.2675090
0.0035100, 68337.6647904
0.0035200, 114862.5942594
0.0035300, 72151.1623260
0.0035400, 106874.5588669
0.0035500, 91720.5286782
0.0035600, 126018.4049098
0.0035700, 122045.3902161
0.0035800, 114958.1585100
0.0035900, 144425.3855006
0.0036000, 137549.3844188
0.0036100, 145651.5453402
0.0036200, 163628.6632989
0.0036300, 174205.6095681
0.0036400, 186507.7612567
0.0036500, 189648.2929135
0.0036600, 191175.6596327
0.0036700, 213034.5770644
0.0036800, 232044.0893020
0.0036900, 219187.2886301
0.0037000, 247895.2990680
0.0037100, 251815.3426819
0.0037200, 259859.2568488
0.0037300, 255232.9883459
0.0037400, 303138.3274629
0.0037500, 279869.8000035
0.0037600, 282747.7480529
0.0037700, 304956.0961204
0.0037800, 335249.5361995
0.0037900, 338993.2351552
0.0038000, 363539.1241146
0.0038100, 409884.2724672
0.0038200, 425213.1735400
0.0038300, 456300.8378340
0.0038400, 507430.4765906
0.0038500, 565561.5672940
0.0038600, 639036.3461604
0.0038700, 705345.4915373
0.0038800, 815145.6767333
0.0038900, 867234.8865798
0.0039000, 1000757.7543971
0.0039100, 1167304.9733129
0.0039200, 1380152.6665735
0.0039300, 1703386.0258746
0.0039400, 2089077.9726157
0.0039500, 2549467.0931173
0.0039600, 3059912.7209391
0.0039700, 3502679.6323800
0.0039800, 3842037.7128291
0.0039900, 4033163.7873714
0.0040000, 4116405.5029058
0.0040100, 4018614.5258685
0.0040200, 3905892.0237105
0.0040300, 3667050.8651844
0.0040400, 3212726.6491473
0.0040500, 2644411.8278538
0.0040600, 2059925.5685490
0.0040700, 1581947.6143855
0.0040800, 1321214.4775266
0.0040900, 1090134.1762499
0.0041000, 1048706.1514543
0.0041100, 1024789.2441610
0.0041200, 943032.5297899
0.0041300, 883674.6888499
0.0041400, 742058.1110728
0.0041500, 665285.0577159
0.0041600, 626886.6255552
0.0041700, 540352.7508961
0.0041800, 477075.6600635
0.0041900, 482982.9871641
0.0042000, 407261.0844667
0.0042100, 365888.8682551
0.0042200, 344351.5466801
0.0042300, 347952.9525036
0.0042400, 291859.7881346
0.0042500, 317721.4053617
0.0042600, 324077.4885872
0.0042700, 273119.9062866
0.0042800, 283766.0051609
0.0042900, 261984.9381491
0.0043000, 291986.7462917
0.0043100, 245757.1780457
0.0043200, 259968.3189641
0.0043300, 235825.9535166
0.0043400, 234419.3292244
0.0043500, 236024.4246704
0.0043600, 233380.2379337
0.0043700, 234890.3360315
0.0043800, 206554.0582923
0.0043900, 223345.3685327
0.0044000, 164322.7987134
0.0044100, 175738.9196080
0.0044200, 190543.8270425
0.0044300, 198858.5138057
0.0044400, 170454.1899544
0.0044500, 151939.6447442
0.0044600, 163397.4285538
0.0044700, 159298.2144533
0.0044800, 143426.9964721
0.0044900, 158173.6124042
0.0045000, 164098.2667794
0.0045100, 129228.8441874
0.0045200, 136098.1665159
0.0045300, 133864.2464887
0.0045400, 137690.7656236
0.0045500, 140918.6150833
0.0045600, 134494.3066825
0.0045700, 139135.0879110
0.0045800, 142901.4436946
0.0045900, 128880.0230020
0.0046000, 136081.1220486
0.0046100, 140301.4153492
0.0046200, 149802.4726365
0.0046300, 133625.7577939
0.0046400, 165628.7570442
0.0046500, 139489.3005825
0.0046600, 168810.0446123
0.0046700, 157517.4201192
0.0046800, 166231.5947105
0.0046900, 162643.0746943
0.0047000, 166317.9642883
0.0047100, 164386.0758398
0.0047200, 166455.6305596
0.0047300, 179640.7249262
0.0047400, 172666.1456858
0.0047500, 182443.3842758
0.0047600, 176509.2198215
0.0047700, 188718.1936592
0.0047800, 175749.4753705
0.0047900, 228607.8957210
0.0048000, 209731.6126505
0.0048100, 220413.7710081
0.0048200, 253491.0602467
0.0048300, 268122.9176516
0.0048400, 318769.6678999
0.0048500, 310061.2579233
0.0048600, 388742.6779246
0.0048700, 419788.3000561
0.0048800, 505581.3293487
0.0048900, 546934.2066584
0.0049000, 683291.0606250
0.0049100, 794986.3191056
0.0049200, 948658.4751938
0.0049300, 1139424.1211388
0.0049400, 1298306.5937801
0.0049500, 1454778.2862502
0.0049600, 1507757.9010468
0.0049700, 1544171.5677880
0.0049800, 1508491.2169615
0.0049900, 1505612.7999629
0.0050000, 1561973.4886755
0.0050100, 10186343.3919157
0.0050200, 4138851.2885540
0.0050300, 367356.0746224
0.0050400, 441347.8197703
0.0050500, 1239646.7551174
0.0050600, 1086606.0841910
0.0050700, 1201531.2228340
0.0050800, 1119923.4660730
0.0050900, 1013649.2681539
0.0051000, 915181.0739460
0.0051100, 755484.6046479
0.0051200, 657913.1915177
0.0051300, 490322.5671046
0.0051400, 417285.5147318
0.0051500, 350498.8883592
0.0051600, 295677.5065439
0.0051700, 236248.4609939
0.0051800, 257901.9942556
0.0051900, 178530.4817811
0.0052000, 180090.2338857
0.0052100, 197256.2149008
0.0052200, 129035.8924834
0.0052300, 176228.1933233
0.0052400, 148533.4775362
0.0052500, 168192.0048902
0.0052600, 122398.8596352
0.0052700, 134408.6744894
0.0052800, 183168.0115222
0.0052900, 142872.5177667
0.0053000, 109712.4139284
0.0053100, 155901.7803619
0.0053200, 123507.6980799
0.0053300, 167061.2318403
0.0053400, 116278.1838265
0.0053500, 147915.0854916
0.0053600, 125458.9931611
0.0053700, 138064.7739722
0.0053800, 119616.7912335
0.0053900, 137940.0461541
0.0054000, 129713.4800435
0.0054100, 137301.6131478
0.0054200, 108345.6257585
0.0054300, 129460.5479673
0.0054400, 132245.6134320
0.0054500, 138405.1556879
0.0054600, 115310.2063869
0.0054700, 149905.0611887
0.0054800, 141166.5425836
0.0054900, 152212.7359849
0.0055000, 111556.9315910
0.0055100, 146961.6201768
0.0055200, 171593.3688521
0.0055300, 137843.8941992
0.0055400, 154493.3728028
0.0055500, 164230.2569443
0.0055600, 167910.7069844
0.0055700, 157826.6020321
0.0055800, 190706.7806031
0.0055900, 181838.4564662
0.0056000, 180631.9694462
0.0056100, 167748.5108876
0.0056200, 191691.0768763
0.0056300, 204611.8584760
0.0056400, 207624.0121614
0.0056500, 197266.3231700
0.0056600, 227431.3339582
0.0056700, 231452.1312496
0.0056800, 238897.5528652
0.0056900, 239951.5092784
0.0057000, 258355.4785330
0.0057100, 235034.0491099
0.0057200, 266085.7093588
0.0057300, 270383.8030837
0.0057400, 246115.4371184
0.0057500, 308496.1917593
0.0057600, 289455.6432063
0.0057700, 290860.4650000
0.0057800, 311436.9009896
0.0057900, 326618.9220498
0.0058000, 341993.3331119
0.0058100, 370701.1325812
0.0058200, 389952.2278908
0.0058300, 442168.0886021
0.0058400, 487746.8686286
0.0058500, 540674.9461599
