Tau	Integrated FFT FID Signal
ms	
1	27311895
2	20310210
3	15783404.93
4	12185800
5	8338955.07
6	5491907
7	3179652.04
8	3799754
9	5991164
10	7692402.59
11	10220659
12	11950627
13	14015513
14	15031759.79
15	17846526
16	18988677
17	20883282
18	22204037
19	23260029
7.5	3078489
