Tau	Integrated FID FFT Signal
ms	
4	45932206.58
17	20745871.21
33	13737994.56
70	47634285.86
60	39894194.75
13	27508736.22
7	39329199.46
53	32308033.99
40	20317212.45
3	48066976.12
85	53144976.67
75	47702777.8
27	6453239.64
15	23520191.83
65	41928917.01
10	33928249.77
20	13952290
25	7815768
35	15254645
30	9311381.99
45	26390870.95
55	35396360.53
