Tau	Integrated FID FFT Signal
ms	
5	19224963.72
20	16734041.64
50	10835929.31
80	7710680
100	5532761.36
150	10358117.37
120	7067555.73
110	6165824.54
90	6008820.44
60	9654343.87
10	17433136.99
30	14477706.04
40	11718433.57
70	8318349.48
95	5471612.96
130	8453011.95
140	8783409.85
160	10439965.61
170	11637898
190	12711559.35
200	13738805.66
97	5305767.03
