Tau	Integrated FID FFT Signal
ms	
10	27111218.28
20	18665915.06
30	10766194.09
40	6694548.67
5	35768175
50	7475758.96
60	12928143.92
70	18239479.75
80	23081345.61
90	27580607.64
100	31749721.63
110	35646208.43
120	38221903.93
45	4298911.76
15	23913050.79
25	15626014
55	9164623.57
65	13336433.76
35	9271750.59
18	22345240.85
68	14926876.2
75	18414705.48
