Time	Spin Echo Peak
ms	
2.02	5065470
3.99	2819720
6.02	1533690
8.02	1038850
10	707856
12.03	487370
14.02	330761
16.02	225660
18.04	152721
20.04	89620.2
22.03	74263.2
