SpinCore Single Pulse NMR & NQR Experiment
ADC Frequency (MHz): 75.00
Blanking Bit: 2.0
Blanking Delay (ms): 3.000
Amplitude: 1.00
Spectrometer Frequency (MHz): 29.9015
Spectral Width (kHz): 3000.00
Number of Scans: 
Pulse-Width (us): 1.5
Pulse Phase (Degrees): 0.00
Transient Delay (us): 20.0
Repetition Delay (s): 0.1
Number of Acquisition Points: 16384.0
BYPASS FIR: YES
Shape: Hard
CYCLOPS: Yes
 
Frequency (kHz), Power Spectral Density Data
-870.3003, 79435.2060
-870.1172, 28690.3904
-869.9341, 55862.4774
-869.7510, 99204.4285
-869.5679, 35416.5053
-869.3848, 17668.9805
-869.2017, 31161.6371
-869.0186, 52233.9622
-868.8354, 49765.7940
-868.6523, 36373.1344
-868.4692, 51376.1190
-868.2861, 50057.2271
-868.1030, 40878.2512
-867.9199, 42522.9517
-867.7368, 43917.0766
-867.5537, 82578.3195
-867.3706, 34226.2613
-867.1875, 25850.3632
-867.0044, 28355.4868
-866.8213, 27801.0608
-866.6382, 59973.0374
-866.4551, 118315.5521
-866.2720, 18009.8858
-866.0889, 71292.6994
-865.9058, 21530.9822
-865.7227, 67911.8316
-865.5396, 54417.0372
-865.3564, 42525.4850
-865.1733, 47190.0927
-864.9902, 47534.2047
-864.8071, 24979.2116
-864.6240, 29921.2311
-864.4409, 50230.4249
-864.2578, 47036.1501
-864.0747, 87863.8747
-863.8916, 32272.8407
-863.7085, 58743.9233
-863.5254, 28381.9600
-863.3423, 34100.1570
-863.1592, 67243.9649
-862.9761, 36433.5412
-862.7930, 51117.5989
-862.6099, 54283.2067
-862.4268, 52949.8530
-862.2437, 20824.4200
-862.0605, 55798.5114
-861.8774, 50228.3091
-861.6943, 62852.9219
-861.5112, 37646.2199
-861.3281, 22468.9675
-861.1450, 22216.7337
-860.9619, 12692.2769
-860.7788, 10810.1197
-860.5957, 49010.5890
-860.4126, 23535.1536
-860.2295, 28430.0600
-860.0464, 76087.0687
-859.8633, 33440.5350
-859.6802, 66345.5184
-859.4971, 24992.1637
-859.3140, 45513.2080
-859.1309, 15746.9601
-858.9478, 34879.5057
-858.7646, 25866.6132
-858.5815, 76573.6574
-858.3984, 21458.3090
-858.2153, 76272.9060
-858.0322, 11266.6170
-857.8491, 41896.7966
-857.6660, 37400.9316
-857.4829, 34711.2146
-857.2998, 30864.6098
-857.1167, 2536.0176
-856.9336, 33250.3961
-856.7505, 66369.9456
-856.5674, 23603.3735
-856.3843, 57628.6262
-856.2012, 21230.0395
-856.0181, 11571.0263
-855.8350, 49534.4441
-855.6519, 22483.0207
-855.4688, 10114.5009
-855.2856, 86782.0406
-855.1025, 48946.7597
-854.9194, 16931.2628
-854.7363, 31240.7186
-854.5532, 53139.8828
-854.3701, 36806.3500
-854.1870, 33873.1267
-854.0039, 43301.6042
-853.8208, 25861.3170
-853.6377, 36292.1779
-853.4546, 74774.1545
-853.2715, 58340.3681
-853.0884, 11498.6108
-852.9053, 78251.7358
-852.7222, 62568.0333
-852.5391, 14650.3264
-852.3560, 14043.5037
-852.1729, 41302.4046
-851.9897, 62494.9156
-851.8066, 55826.5492
-851.6235, 7777.1547
-851.4404, 71303.5602
-851.2573, 54557.3567
-851.0742, 53403.3979
-850.8911, 36561.5380
-850.7080, 27214.4120
-850.5249, 39654.7733
-850.3418, 5291.6230
-850.1587, 60821.6100
-849.9756, 42133.5966
-849.7925, 87086.3958
-849.6094, 28719.4449
-849.4263, 63784.8935
-849.2432, 61874.0284
-849.0601, 65992.9502
-848.8770, 52206.7617
-848.6938, 30930.0743
-848.5107, 31969.6007
-848.3276, 35847.9548
-848.1445, 97017.1152
-847.9614, 33943.6590
-847.7783, 1719.3542
-847.5952, 38567.9385
-847.4121, 44880.2717
-847.2290, 31392.3052
-847.0459, 32301.5767
-846.8628, 29227.9907
-846.6797, 22277.0585
-846.4966, 47109.2603
-846.3135, 43810.6160
-846.1304, 44872.9726
-845.9473, 29506.3242
-845.7642, 48014.2524
-845.5811, 40639.1186
-845.3979, 46756.8535
-845.2148, 15202.9616
-845.0317, 29756.4082
-844.8486, 5667.4743
-844.6655, 30669.9910
-844.4824, 54611.1352
-844.2993, 21052.7667
-844.1162, 30247.0415
-843.9331, 16865.9725
-843.7500, 10493.4175
-843.5669, 63980.4833
-843.3838, 54385.3848
-843.2007, 34293.1166
-843.0176, 49735.6701
-842.8345, 76241.3803
-842.6514, 70789.5787
-842.4683, 52155.2655
-842.2852, 20957.6146
-842.1021, 16442.1455
-841.9189, 26028.0498
-841.7358, 31159.2343
-841.5527, 62633.1659
-841.3696, 14104.9027
-841.1865, 65665.2200
-841.0034, 37536.6048
-840.8203, 32652.6372
-840.6372, 62320.2415
-840.4541, 22999.3226
-840.2710, 17745.6888
-840.0879, 30967.0464
-839.9048, 55370.5038
-839.7217, 32435.9429
-839.5386, 5901.4472
-839.3555, 43992.9000
-839.1724, 31364.0006
-838.9893, 17219.2880
-838.8062, 49956.6127
-838.6230, 47464.3097
-838.4399, 8262.8374
-838.2568, 38394.8172
-838.0737, 33417.5480
-837.8906, 19233.0566
-837.7075, 93909.5329
-837.5244, 72747.2371
-837.3413, 32265.1344
-837.1582, 17669.5666
-836.9751, 17870.3018
-836.7920, 23572.3673
-836.6089, 31802.2064
-836.4258, 37586.9534
-836.2427, 24207.2212
-836.0596, 12122.9879
-835.8765, 21421.6862
-835.6934, 34381.7313
-835.5103, 34181.6228
-835.3271, 87129.2189
-835.1440, 19448.6829
-834.9609, 54108.4301
-834.7778, 36007.1017
-834.5947, 28896.3702
-834.4116, 65674.5243
-834.2285, 52067.3702
-834.0454, 18740.5757
-833.8623, 35794.1351
-833.6792, 17842.0738
-833.4961, 25842.8026
-833.3130, 22065.3454
-833.1299, 49868.1357
-832.9468, 71029.2234
-832.7637, 53189.6111
-832.5806, 68183.3448
-832.3975, 18024.2105
-832.2144, 73783.7231
-832.0312, 31705.3777
-831.8481, 63730.0931
-831.6650, 47003.4214
-831.4819, 28448.8319
-831.2988, 32314.3356
-831.1157, 46963.8881
-830.9326, 43620.6130
-830.7495, 49762.9809
-830.5664, 21586.2093
-830.3833, 16036.9826
-830.2002, 36602.5060
-830.0171, 60725.7867
-829.8340, 52501.5348
-829.6509, 38165.8268
-829.4678, 32512.2429
-829.2847, 10249.0706
-829.1016, 44608.0698
-828.9185, 33846.8038
-828.7354, 29563.8398
-828.5522, 43906.9288
-828.3691, 69485.4749
-828.1860, 63640.2530
-828.0029, 34329.9356
-827.8198, 69679.4350
-827.6367, 42950.6521
-827.4536, 48367.1669
-827.2705, 51372.3695
-827.0874, 61085.5901
-826.9043, 55908.8765
-826.7212, 17568.9891
-826.5381, 56220.8078
-826.3550, 28599.5922
-826.1719, 26927.6635
-825.9888, 18802.0659
-825.8057, 20991.6185
-825.6226, 58360.8955
-825.4395, 34007.2049
-825.2563, 44353.9927
-825.0732, 19525.4051
-824.8901, 29951.6389
-824.7070, 30547.0560
-824.5239, 50098.3368
-824.3408, 22492.6207
-824.1577, 37397.3472
-823.9746, 25014.4520
-823.7915, 51083.9883
-823.6084, 20019.7749
-823.4253, 21274.6032
-823.2422, 55184.0484
-823.0591, 34621.8249
-822.8760, 50418.4839
-822.6929, 33496.6964
-822.5098, 30236.2659
-822.3267, 40626.3655
-822.1436, 18345.0555
-821.9604, 30968.0890
-821.7773, 75741.5900
-821.5942, 28539.8867
-821.4111, 34299.2411
-821.2280, 11159.0314
-821.0449, 35869.3003
-820.8618, 8691.9163
-820.6787, 21839.2613
-820.4956, 20794.9045
-820.3125, 37045.2659
-820.1294, 54615.9647
-819.9463, 27295.2329
-819.7632, 29329.9498
-819.5801, 10235.7876
-819.3970, 23447.7769
-819.2139, 47543.4924
-819.0308, 18539.5851
-818.8477, 4525.7690
-818.6646, 71556.1194
-818.4814, 31833.7469
-818.2983, 34142.9137
-818.1152, 37687.9543
-817.9321, 81047.7858
-817.7490, 31091.2166
-817.5659, 56925.8172
-817.3828, 45603.4306
-817.1997, 3086.3774
-817.0166, 46968.2947
-816.8335, 70024.1564
-816.6504, 32068.6744
-816.4673, 12345.1021
-816.2842, 21420.6411
-816.1011, 107510.9437
-815.9180, 53524.5840
-815.7349, 36546.1115
-815.5518, 17511.5210
-815.3687, 35380.2376
-815.1855, 11718.1055
-815.0024, 40663.1052
-814.8193, 24836.9335
-814.6362, 22481.1292
-814.4531, 32914.6214
-814.2700, 44122.8586
-814.0869, 28669.5243
-813.9038, 34851.3725
-813.7207, 41984.4194
-813.5376, 73713.8578
-813.3545, 63014.8509
-813.1714, 40056.0337
-812.9883, 25065.8862
-812.8052, 13460.6154
-812.6221, 33771.6492
-812.4390, 48581.7018
-812.2559, 71274.2090
-812.0728, 11322.9463
-811.8896, 59438.2101
-811.7065, 72754.1916
-811.5234, 14239.9419
-811.3403, 24029.6840
-811.1572, 9936.4071
-810.9741, 82135.6569
-810.7910, 57341.4318
-810.6079, 38691.3852
-810.4248, 15312.1604
-810.2417, 52277.2231
-810.0586, 56497.0836
-809.8755, 9539.0619
-809.6924, 36823.3964
-809.5093, 71438.9927
-809.3262, 34844.4723
-809.1431, 16532.1807
-808.9600, 40261.6046
-808.7769, 24019.8061
-808.5938, 47097.9111
-808.4106, 74026.6154
-808.2275, 78154.9224
-808.0444, 13036.0509
-807.8613, 61176.4520
-807.6782, 72857.4117
-807.4951, 20730.6701
-807.3120, 36319.4309
-807.1289, 48430.4474
-806.9458, 43185.8761
-806.7627, 28615.7596
-806.5796, 35591.6561
-806.3965, 66515.7785
-806.2134, 21146.9416
-806.0303, 15835.3346
-805.8472, 46425.3388
-805.6641, 37918.1859
-805.4810, 25322.3928
-805.2979, 44734.9509
-805.1147, 57406.8574
-804.9316, 22864.4328
-804.7485, 5522.9503
-804.5654, 23581.4324
-804.3823, 17537.5775
-804.1992, 10756.1315
-804.0161, 28123.4023
-803.8330, 32365.1884
-803.6499, 52937.4609
-803.4668, 17526.2316
-803.2837, 19313.0427
-803.1006, 48729.5016
-802.9175, 24705.1723
-802.7344, 20317.2125
-802.5513, 40888.3596
-802.3682, 15172.7505
-802.1851, 47620.9033
-802.0020, 49209.8725
-801.8188, 20734.4822
-801.6357, 27268.4205
-801.4526, 4622.6962
-801.2695, 59537.9120
-801.0864, 29695.5661
-800.9033, 27698.4251
-800.7202, 29863.0786
-800.5371, 74854.1542
-800.3540, 43101.5685
-800.1709, 6121.8566
-799.9878, 19011.0491
-799.8047, 53837.5349
-799.6216, 40987.8987
-799.4385, 15340.3238
-799.2554, 27899.0837
-799.0723, 60058.6767
-798.8892, 36138.5940
-798.7061, 12845.3396
-798.5229, 46503.6357
-798.3398, 43061.1313
-798.1567, 53682.3454
-797.9736, 39142.9177
-797.7905, 73333.8208
-797.6074, 26518.0497
-797.4243, 17154.7542
-797.2412, 64905.5091
-797.0581, 35402.7242
-796.8750, 63303.0351
-796.6919, 29383.4644
-796.5088, 28422.3675
-796.3257, 42728.4981
-796.1426, 72260.5395
-795.9595, 24610.3466
-795.7764, 12713.1190
-795.5933, 96547.3456
-795.4102, 44417.9106
-795.2271, 62233.5186
-795.0439, 21999.5534
-794.8608, 45996.2062
-794.6777, 25418.7666
-794.4946, 13032.3071
-794.3115, 32371.0923
-794.1284, 23704.8258
-793.9453, 53714.5897
-793.7622, 11205.1502
-793.5791, 7632.9886
-793.3960, 44415.2598
-793.2129, 39719.8468
-793.0298, 28930.9305
-792.8467, 41736.0477
-792.6636, 39174.7812
-792.4805, 19309.5071
-792.2974, 9315.2742
-792.1143, 13892.1969
-791.9312, 14662.8612
-791.7480, 22363.8371
-791.5649, 9102.0682
-791.3818, 39045.6018
-791.1987, 48608.3074
-791.0156, 48193.3347
-790.8325, 36067.5256
-790.6494, 5089.6804
-790.4663, 28081.1054
-790.2832, 35031.4691
-790.1001, 56320.7414
-789.9170, 36479.6189
-789.7339, 9381.9434
-789.5508, 21551.5206
-789.3677, 21475.5272
-789.1846, 17175.5918
-789.0015, 29681.6680
-788.8184, 22980.5179
-788.6353, 56122.3959
-788.4521, 25248.7360
-788.2690, 33816.0956
-788.0859, 37885.1853
-787.9028, 16915.2830
-787.7197, 36902.7931
-787.5366, 32206.7359
-787.3535, 34970.4415
-787.1704, 13139.6087
-786.9873, 43788.7762
-786.8042, 49358.5382
-786.6211, 20335.1138
-786.4380, 78276.1235
-786.2549, 22298.8142
-786.0718, 4709.8625
-785.8887, 13343.6829
-785.7056, 25692.2781
-785.5225, 47936.0529
-785.3394, 4851.8697
-785.1562, 18650.2865
-784.9731, 43390.8529
-784.7900, 18143.2497
-784.6069, 44885.3095
-784.4238, 19090.2502
-784.2407, 36661.2007
-784.0576, 17756.1950
-783.8745, 30266.6866
-783.6914, 35176.3517
-783.5083, 22509.9962
-783.3252, 18931.1860
-783.1421, 35332.5288
-782.9590, 50432.6557
-782.7759, 14745.2415
-782.5928, 17347.9385
-782.4097, 33467.0964
-782.2266, 35580.6065
-782.0435, 30610.6838
-781.8604, 14288.1831
-781.6772, 55819.1292
-781.4941, 8236.1792
-781.3110, 26521.0552
-781.1279, 30618.5391
-780.9448, 27037.2846
-780.7617, 49870.6724
-780.5786, 97922.5828
-780.3955, 22819.8884
-780.2124, 30721.9278
-780.0293, 42421.4332
-779.8462, 20164.7340
-779.6631, 40147.6581
-779.4800, 32269.4089
-779.2969, 7082.8191
-779.1138, 10545.0762
-778.9307, 49080.5951
-778.7476, 69107.0209
-778.5645, 49338.8920
-778.3813, 46921.5611
-778.1982, 40643.5066
-778.0151, 30373.4337
-777.8320, 44084.6380
-777.6489, 77357.2421
-777.4658, 18960.0281
-777.2827, 41445.7491
-777.0996, 37109.9867
-776.9165, 41598.5333
-776.7334, 68665.1358
-776.5503, 42327.1570
-776.3672, 19944.0248
-776.1841, 39874.1093
-776.0010, 37785.0055
-775.8179, 29005.0212
-775.6348, 19095.9873
-775.4517, 25952.9613
-775.2686, 43950.8544
-775.0854, 35418.5435
-774.9023, 23530.0455
-774.7192, 30723.2618
-774.5361, 32014.7681
-774.3530, 23439.5789
-774.1699, 45742.8699
-773.9868, 45877.3482
-773.8037, 18505.1923
-773.6206, 65684.3079
-773.4375, 47610.9086
-773.2544, 40703.6264
-773.0713, 71672.0507
-772.8882, 51902.4090
-772.7051, 34135.0229
-772.5220, 9588.7064
-772.3389, 52648.0773
-772.1558, 12590.8695
-771.9727, 10708.1902
-771.7896, 27539.4288
-771.6064, 50300.6135
-771.4233, 59478.5911
-771.2402, 31419.7737
-771.0571, 13431.5821
-770.8740, 19505.7517
-770.6909, 59243.2060
-770.5078, 7375.0594
-770.3247, 40514.7875
-770.1416, 25927.0064
-769.9585, 33281.6874
-769.7754, 25035.1333
-769.5923, 70108.2080
-769.4092, 59666.7487
-769.2261, 52757.4639
-769.0430, 42291.2100
-768.8599, 65870.2447
-768.6768, 36148.6031
-768.4937, 25799.4048
-768.3105, 28893.7587
-768.1274, 41054.6808
-767.9443, 21865.4966
-767.7612, 16217.1819
-767.5781, 27044.2650
-767.3950, 22569.8756
-767.2119, 24204.4014
-767.0288, 22784.4923
-766.8457, 29139.1197
-766.6626, 5545.6595
-766.4795, 26014.4093
-766.2964, 30023.5364
-766.1133, 26069.6602
-765.9302, 52808.7790
-765.7471, 63964.1789
-765.5640, 25045.1002
-765.3809, 27320.4637
-765.1978, 21547.3145
-765.0146, 27895.8345
-764.8315, 39217.0192
-764.6484, 50066.8767
-764.4653, 45231.0134
-764.2822, 33959.1308
-764.0991, 49614.4279
-763.9160, 18784.9934
-763.7329, 29107.8466
-763.5498, 11076.0808
-763.3667, 28812.9806
-763.1836, 14993.5881
-763.0005, 16375.6407
-762.8174, 28645.4016
-762.6343, 40252.2544
-762.4512, 23021.4061
-762.2681, 25335.5846
-762.0850, 21950.5721
-761.9019, 13746.6116
-761.7188, 32852.7364
-761.5356, 42041.2234
-761.3525, 18472.6353
-761.1694, 30860.7658
-760.9863, 24727.6568
-760.8032, 49211.3661
-760.6201, 15289.4017
-760.4370, 13711.7435
-760.2539, 39199.0932
-760.0708, 32001.2436
-759.8877, 52171.1141
-759.7046, 20672.1548
-759.5215, 38841.5601
-759.3384, 22817.4687
-759.1553, 50203.6154
-758.9722, 24573.9037
-758.7891, 54459.9391
-758.6060, 63091.3376
-758.4229, 45100.5068
-758.2397, 85955.6648
-758.0566, 20120.3467
-757.8735, 8326.0570
-757.6904, 49390.3716
-757.5073, 6912.1273
-757.3242, 52706.2384
-757.1411, 37619.0826
-756.9580, 6507.0125
-756.7749, 21515.3420
-756.5918, 41553.8321
-756.4087, 48612.7734
-756.2256, 63034.8285
-756.0425, 40383.8416
-755.8594, 91868.8418
-755.6763, 31139.6047
-755.4932, 21906.8815
-755.3101, 2840.4648
-755.1270, 15387.0788
-754.9438, 31108.6025
-754.7607, 29840.6904
-754.5776, 31284.4877
-754.3945, 45464.7437
-754.2114, 29267.9619
-754.0283, 18641.2990
-753.8452, 44656.3598
-753.6621, 7393.2731
-753.4790, 52569.4579
-753.2959, 42471.0013
-753.1128, 11350.7557
-752.9297, 13060.6826
-752.7466, 35552.7173
-752.5635, 46440.6962
-752.3804, 27956.7420
-752.1973, 11164.2283
-752.0142, 26342.7462
-751.8311, 21372.2298
-751.6479, 27852.3057
-751.4648, 32076.5041
-751.2817, 32606.9679
-751.0986, 20485.7291
-750.9155, 36840.1886
-750.7324, 29282.9182
-750.5493, 25151.3190
-750.3662, 40386.6504
-750.1831, 30163.0194
-750.0000, 55887.9703
-749.8169, 90890.7409
-749.6338, 73597.1288
-749.4507, 31028.7311
-749.2676, 41917.1586
-749.0845, 33500.0404
-748.9014, 58508.4860
-748.7183, 18142.6070
-748.5352, 40099.3028
-748.3521, 34992.9303
-748.1689, 34452.4754
-747.9858, 42327.7802
-747.8027, 51504.7832
-747.6196, 4578.2500
-747.4365, 61714.5094
-747.2534, 48726.8043
-747.0703, 2188.8181
-746.8872, 37091.9146
-746.7041, 48143.9849
-746.5210, 84517.0287
-746.3379, 18794.9297
-746.1548, 45291.7570
-745.9717, 42838.0974
-745.7886, 53776.8524
-745.6055, 11490.7903
-745.4224, 33977.2413
-745.2393, 15176.1809
-745.0562, 61716.6803
-744.8730, 39940.5529
-744.6899, 53897.7716
-744.5068, 13880.4075
-744.3237, 32371.1559
-744.1406, 42764.3075
-743.9575, 15356.8614
-743.7744, 37327.0375
-743.5913, 64343.3004
-743.4082, 48445.8877
-743.2251, 24760.5129
-743.0420, 44702.7645
-742.8589, 31694.4692
-742.6758, 36163.9948
-742.4927, 40577.6611
-742.3096, 51782.9238
-742.1265, 37622.3833
-741.9434, 16110.5294
-741.7603, 43448.2243
-741.5771, 32220.0324
-741.3940, 21969.0610
-741.2109, 3624.5161
-741.0278, 10405.1256
-740.8447, 1533.1654
-740.6616, 35222.3295
-740.4785, 30101.0572
-740.2954, 67301.7004
-740.1123, 29925.6494
-739.9292, 31805.7055
-739.7461, 72876.6610
-739.5630, 22038.7781
-739.3799, 10603.9933
-739.1968, 30915.7202
-739.0137, 12795.2879
-738.8306, 40220.5188
-738.6475, 7529.8309
-738.4644, 6228.0077
-738.2812, 13524.9427
-738.0981, 30510.7604
-737.9150, 37433.6289
-737.7319, 18516.7476
-737.5488, 31448.8586
-737.3657, 4278.0666
-737.1826, 40059.2545
-736.9995, 86803.1719
-736.8164, 34130.5312
-736.6333, 10585.8559
-736.4502, 28944.4122
-736.2671, 56884.9620
-736.0840, 29121.9379
-735.9009, 19437.7646
-735.7178, 14189.9646
-735.5347, 32496.8044
-735.3516, 15682.0222
-735.1685, 37200.9717
-734.9854, 59040.8240
-734.8022, 6158.3154
-734.6191, 32526.6375
-734.4360, 34017.4019
-734.2529, 32560.1814
-734.0698, 56348.7736
-733.8867, 32103.4534
-733.7036, 35288.9077
-733.5205, 38367.0208
-733.3374, 40302.7661
-733.1543, 9469.3769
-732.9712, 40549.4231
-732.7881, 33625.4776
-732.6050, 50735.2051
-732.4219, 21185.6733
-732.2388, 26171.0712
-732.0557, 11136.6911
-731.8726, 34364.5427
-731.6895, 53496.2249
-731.5063, 43257.2957
-731.3232, 18020.0427
-731.1401, 24718.2514
-730.9570, 43133.7525
-730.7739, 28689.6429
-730.5908, 42376.0630
-730.4077, 16925.3566
-730.2246, 44969.4905
-730.0415, 22455.2322
-729.8584, 25912.2831
-729.6753, 5416.2174
-729.4922, 45652.2558
-729.3091, 56755.8543
-729.1260, 27701.2444
-728.9429, 47363.1104
-728.7598, 25793.4846
-728.5767, 37046.8014
-728.3936, 72399.3322
-728.2104, 43193.0749
-728.0273, 30379.5837
-727.8442, 38206.3096
-727.6611, 8851.6862
-727.4780, 21014.4511
-727.2949, 48635.8526
-727.1118, 23569.3508
-726.9287, 47303.5669
-726.7456, 52381.6050
-726.5625, 33290.6729
-726.3794, 18774.1794
-726.1963, 2422.0337
-726.0132, 23797.3192
-725.8301, 81976.4130
-725.6470, 9720.3155
-725.4639, 62037.4860
-725.2808, 43238.4855
-725.0977, 33814.6006
-724.9146, 38853.7753
-724.7314, 20023.4817
-724.5483, 16105.4508
-724.3652, 28404.7359
-724.1821, 16419.9259
-723.9990, 13153.0299
-723.8159, 38841.1715
-723.6328, 27934.8890
-723.4497, 68540.3739
-723.2666, 24196.1487
-723.0835, 25750.3191
-722.9004, 50841.2792
-722.7173, 22883.2864
-722.5342, 9048.4009
-722.3511, 42552.3652
-722.1680, 63185.3444
-721.9849, 52117.6183
-721.8018, 51191.0440
-721.6187, 15905.2805
-721.4355, 41017.9276
-721.2524, 22687.1131
-721.0693, 26428.1547
-720.8862, 70307.3440
-720.7031, 5904.7266
-720.5200, 16869.9420
-720.3369, 20586.3814
-720.1538, 21066.2036
-719.9707, 17156.6846
-719.7876, 29344.8880
-719.6045, 53464.5782
-719.4214, 39873.6876
-719.2383, 43293.7030
-719.0552, 20096.4794
-718.8721, 6237.0882
-718.6890, 22100.7592
-718.5059, 25234.6864
-718.3228, 39103.4233
-718.1396, 59451.4930
-717.9565, 10177.2435
-717.7734, 31452.8722
-717.5903, 32449.3014
-717.4072, 61403.6683
-717.2241, 9369.5634
-717.0410, 58527.2846
-716.8579, 32434.4533
-716.6748, 32178.2015
-716.4917, 38050.5188
-716.3086, 38528.0777
-716.1255, 52818.1155
-715.9424, 48737.3129
-715.7593, 45947.7012
-715.5762, 10108.0946
-715.3931, 15444.2632
-715.2100, 11344.8919
-715.0269, 12285.6036
-714.8438, 23188.3821
-714.6606, 22209.1513
-714.4775, 31830.8903
-714.2944, 49402.2582
-714.1113, 57937.1821
-713.9282, 33310.3990
-713.7451, 52548.8857
-713.5620, 44891.3475
-713.3789, 58154.5124
-713.1958, 15294.1919
-713.0127, 21094.4663
-712.8296, 24134.6517
-712.6465, 29967.3127
-712.4634, 52947.9143
-712.2803, 23932.4180
-712.0972, 57031.7167
-711.9141, 26923.1010
-711.7310, 46666.4678
-711.5479, 28776.4499
-711.3647, 27452.4771
-711.1816, 33788.2306
-710.9985, 38588.9228
-710.8154, 25066.3941
-710.6323, 54781.2586
-710.4492, 27028.6651
-710.2661, 49922.9250
-710.0830, 17876.1590
-709.8999, 47147.9446
-709.7168, 44166.1275
-709.5337, 12783.1877
-709.3506, 25742.2803
-709.1675, 58549.7987
-708.9844, 19755.4038
-708.8013, 50216.4865
-708.6182, 41409.8176
-708.4351, 5788.3603
-708.2520, 48129.5651
-708.0688, 13288.7519
-707.8857, 31643.4150
-707.7026, 31922.4707
-707.5195, 24818.5842
-707.3364, 19964.8860
-707.1533, 52572.2110
-706.9702, 26358.0415
-706.7871, 4746.0064
-706.6040, 33971.8405
-706.4209, 8969.9636
-706.2378, 27309.8000
-706.0547, 20487.4189
-705.8716, 26775.0409
-705.6885, 51565.4963
-705.5054, 34486.3691
-705.3223, 23383.3756
-705.1392, 8009.6347
-704.9561, 39762.7774
-704.7729, 16663.8559
-704.5898, 6398.8673
-704.4067, 21351.6697
-704.2236, 39418.6059
-704.0405, 20130.0997
-703.8574, 58723.4492
-703.6743, 72480.1457
-703.4912, 57416.3936
-703.3081, 53790.0685
-703.1250, 19046.4599
-702.9419, 26561.4160
-702.7588, 33418.3203
-702.5757, 23473.5229
-702.3926, 28928.5885
-702.2095, 43484.4646
-702.0264, 40580.7969
-701.8433, 20198.9977
-701.6602, 62517.4965
-701.4771, 39797.9673
-701.2939, 28207.0737
-701.1108, 17819.1016
-700.9277, 14964.8362
-700.7446, 26538.9028
-700.5615, 58157.6044
-700.3784, 47689.6004
-700.1953, 8707.1017
-700.0122, 61339.2942
-699.8291, 35439.8856
-699.6460, 34354.2618
-699.4629, 33459.5237
-699.2798, 52855.5695
-699.0967, 24841.4438
-698.9136, 16562.5886
-698.7305, 22943.4578
-698.5474, 42476.6697
-698.3643, 26315.5932
-698.1812, 40881.6110
-697.9980, 11017.4680
-697.8149, 29328.5800
-697.6318, 12250.0997
-697.4487, 50005.4523
-697.2656, 44675.0646
-697.0825, 38382.4865
-696.8994, 48829.5262
-696.7163, 13857.4339
-696.5332, 13061.6871
-696.3501, 32265.4271
-696.1670, 22997.8549
-695.9839, 25079.2842
-695.8008, 3733.2305
-695.6177, 61390.8283
-695.4346, 38952.2381
-695.2515, 9541.0818
-695.0684, 62814.5758
-694.8853, 40225.9142
-694.7021, 30688.0755
-694.5190, 34167.1103
-694.3359, 6420.7031
-694.1528, 38098.6012
-693.9697, 17161.0553
-693.7866, 37448.8922
-693.6035, 17372.9398
-693.4204, 81145.7992
-693.2373, 51809.0108
-693.0542, 31115.7513
-692.8711, 51179.5371
-692.6880, 41813.9124
-692.5049, 27493.8937
-692.3218, 10770.2418
-692.1387, 18398.5131
-691.9556, 45457.2717
-691.7725, 11036.7466
-691.5894, 34241.0634
-691.4062, 12869.4014
-691.2231, 41785.5329
-691.0400, 2970.2523
-690.8569, 54601.3037
-690.6738, 23084.1221
-690.4907, 14697.7830
-690.3076, 31277.7923
-690.1245, 36461.7446
-689.9414, 43592.9099
-689.7583, 57256.5780
-689.5752, 29849.1019
-689.3921, 34111.3460
-689.2090, 8819.4534
-689.0259, 32246.6237
-688.8428, 25215.0696
-688.6597, 53738.8244
-688.4766, 31354.7223
-688.2935, 19488.1055
-688.1104, 53370.4710
-687.9272, 22772.0385
-687.7441, 52910.4755
-687.5610, 38681.5175
-687.3779, 12832.4647
-687.1948, 45634.2766
-687.0117, 49358.3441
-686.8286, 64342.0581
-686.6455, 27974.3664
-686.4624, 80634.2814
-686.2793, 36443.4897
-686.0962, 70583.9578
-685.9131, 33894.6969
-685.7300, 33476.7310
-685.5469, 26573.2097
-685.3638, 44041.1672
-685.1807, 53855.7936
-684.9976, 50794.3160
-684.8145, 76161.3280
-684.6313, 8542.9170
-684.4482, 24080.3287
-684.2651, 61067.9212
-684.0820, 22527.1935
-683.8989, 26500.1814
-683.7158, 37982.3440
-683.5327, 17052.0075
-683.3496, 25832.5843
-683.1665, 51963.7382
-682.9834, 22592.4052
-682.8003, 49510.0670
-682.6172, 81696.0891
-682.4341, 32440.2668
-682.2510, 10587.4153
-682.0679, 63781.7156
-681.8848, 33539.4418
-681.7017, 24890.1033
-681.5186, 29393.8532
-681.3354, 22272.6553
-681.1523, 49327.9787
-680.9692, 40847.6315
-680.7861, 29542.5904
-680.6030, 37787.5074
-680.4199, 30931.5875
-680.2368, 32744.8960
-680.0537, 14201.0503
-679.8706, 62801.2092
-679.6875, 30366.0806
-679.5044, 25888.6728
-679.3213, 10385.3934
-679.1382, 7180.8666
-678.9551, 39180.9651
-678.7720, 35510.1715
-678.5889, 24603.7948
-678.4058, 23240.1235
-678.2227, 26311.1717
-678.0396, 15100.1528
-677.8564, 47284.0970
-677.6733, 58934.6493
-677.4902, 52166.1738
-677.3071, 19547.2961
-677.1240, 27998.9600
