Time	Spin Echo Peak
ms	
14.02	3204567.6247477
18.05	3056988.68302
22.04	2878637
26.03	2758427.3318
30.05	2613816.23068
34.06	2522171.15527
38.05	2383560.96673
42.06	2275520.37967
46.06	2175739.32531
50.06	2075100.46294
54.08	2008483.51828
58.08	1918724.15571
62.08	1818483.48935
66.09	1746145.56166
70.1	1656419.52243
74.11	1566837.04905
78.11	1496932.29691
36.05	2457472.16956
32.03	2536630.68901
28.04	2694710.79045
40.06	2335163.01736
44.07	2241666.17086
48.06	2133153.72139

