Time	Spin Echo Peak
ms	
2.02	6068730
4.01	5929420
6.02	4976040
8.02	4824960
10.01	4312430
12.02	4052990
14.02	3739230
16.02	3388000
18.02	3116870
20.03	2875780
22.03	2644180
24.03	2436630
26.03	2225950
28.03	2040070
30.03	1856170
32.04	1743920
34.04	1600970
36.04	1444890
38.04	1355190
40.05	1238650
42.05	1146900
44.05	1072520
46.05	965281
48.06	862591
50.05	789450
52.06	731404
