Time	Spin Echo Peak
ms	
68.08	833642
4.01	4081870
72.08	744783
8.02	3506980
76.09	677726
12.02	3082520
80.08	623180
16.02	2870610
84.1	569033
20.03	2563950
88.09	515849
24.04	2343670
92.1	478713
28.04	2167880
96.12	408992
32.04	1961100
100.12	377208
36.05	1779990
40.05	1609480
44.05	1481660
48.04	1331530
52.06	1206810
56.06	1093590
60.07	1015830
64.07	921565
