Time	Spin Echo Peak
ms	
2.02	5754510
4.01	4525780
6.01	3430950
8.02	2986140
10.01	2417910
12.02	2043180
14.02	1676400
16.02	1394020
18.03	1143750
20.03	958749
22.02	777964
24.03	652120
26.03	534936
28.04	449863
30.03	380214
32.04	317582
34.04	263409
36.04	214578
38.04	176087
40.04	146025
42.05	115361
44.04	106198
46.06	88909.1
48.05	82355
